DATE,QVA
1996-01-01,36550.3
1996-02-01,36550.3
1996-03-01,36550.3
1996-04-01,37152.4
1996-05-01,37152.4
1996-06-01,37152.4
1996-07-01,37792.4
1996-08-01,37792.4
1996-09-01,37792.4
1996-10-01,38372.4
1996-11-01,38372.4
1996-12-01,38372.4
1997-01-01,38710.8
1997-02-01,38710.8
1997-03-01,38710.8
1997-04-01,40823.0
1997-05-01,40823.0
1997-06-01,40823.0
1997-07-01,40274.9
1997-08-01,40274.9
1997-09-01,40274.9
1997-10-01,39448.7
1997-11-01,39448.7
1997-12-01,39448.7
1998-01-01,36553.0
1998-02-01,36553.0
1998-03-01,36553.0
1998-04-01,35736.4
1998-05-01,35736.4
1998-06-01,35736.4
1998-07-01,36688.8
1998-08-01,36688.8
1998-09-01,36688.8
1998-10-01,39039.8
1998-11-01,39039.8
1998-12-01,39039.8
1999-01-01,39785.9
1999-02-01,39785.9
1999-03-01,39785.9
1999-04-01,44028.0
1999-05-01,44028.0
1999-06-01,44028.0
1999-07-01,46253.5
1999-08-01,46253.5
1999-09-01,46253.5
1999-10-01,48516.7
1999-11-01,48516.7
1999-12-01,48516.7
2000-01-01,49942.6
2000-02-01,49942.6
2000-03-01,49942.6
2000-04-01,51149.6
2000-05-01,51149.6
2000-06-01,51149.6
2000-07-01,54074.1
2000-08-01,54074.1
2000-09-01,54074.1
2000-10-01,52300.1
2000-11-01,52300.1
2000-12-01,52300.1
2001-01-01,52935.4
2001-02-01,52935.4
2001-03-01,52935.4
2001-04-01,52914.6
2001-05-01,52914.6
2001-06-01,52914.6
2001-07-01,53260.6
2001-08-01,53260.6
2001-09-01,53260.6
2001-10-01,54254.1
2001-11-01,54254.1
2001-12-01,54254.1
2002-01-01,56059.0
2002-02-01,56059.0
2002-03-01,56059.0
2002-04-01,57725.0
2002-05-01,57725.0
2002-06-01,57725.0
2002-07-01,59539.5
2002-08-01,59539.5
2002-09-01,59539.5
2002-10-01,60269.3
2002-11-01,60269.3
2002-12-01,60269.3
2003-01-01,59793.3
2003-02-01,59793.3
2003-03-01,59793.3
2003-04-01,59170.1
2003-05-01,59170.1
2003-06-01,59170.1
2003-07-01,61648.2
2003-08-01,61648.2
2003-09-01,61648.2
2003-10-01,64728.1
2003-11-01,64728.1
2003-12-01,64728.1
2004-01-01,66644.6
2004-02-01,66644.6
2004-03-01,66644.6
2004-04-01,67708.2
2004-05-01,67708.2
2004-06-01,67708.2
2004-07-01,67888.4
2004-08-01,67888.4
2004-09-01,67888.4
2004-10-01,68461.7
2004-11-01,68461.7
2004-12-01,68461.7
2005-01-01,68954.3
2005-02-01,68954.3
2005-03-01,68954.3
2005-04-01,70370.0
2005-05-01,70370.0
2005-06-01,70370.0
2005-07-01,72254.6
2005-08-01,72254.6
2005-09-01,72254.6
2005-10-01,73486.0
2005-11-01,73486.0
2005-12-01,73486.0
2006-01-01,75432.2
2006-02-01,75432.2
2006-03-01,75432.2
2006-04-01,75902.1
2006-05-01,75902.1
2006-06-01,75902.1
2006-07-01,78182.7
2006-08-01,78182.7
2006-09-01,78182.7
2006-10-01,77988.6
2006-11-01,77988.6
2006-12-01,77988.6
2007-01-01,80381.3
2007-02-01,80381.3
2007-03-01,80381.3
2007-04-01,82195.9
2007-05-01,82195.9
2007-06-01,82195.9
2007-07-01,83645.0
2007-08-01,83645.0
2007-09-01,83645.0
2007-10-01,86446.3
2007-11-01,86446.3
2007-12-01,86446.3
2008-01-01,87193.8
2008-02-01,87193.8
2008-03-01,87193.8
2008-04-01,87964.1
2008-05-01,87964.1
2008-06-01,87964.1
2008-07-01,88477.8
2008-08-01,88477.8
2008-09-01,88477.8
2008-10-01,80823.5
2008-11-01,80823.5
2008-12-01,80823.5
2009-01-01,78843.9
2009-02-01,78843.9
2009-03-01,78843.9
2009-04-01,81019.1
2009-05-01,81019.1
2009-06-01,81019.1
2009-07-01,87998.1
2009-08-01,87998.1
2009-09-01,87998.1
2009-10-01,88555.1
2009-11-01,88555.1
2009-12-01,88555.1
2010-01-01,90597.3
2010-02-01,90597.3
2010-03-01,90597.3
2010-04-01,95119.7
2010-05-01,95119.7
2010-06-01,95119.7
2010-07-01,97254.2
2010-08-01,97254.2
2010-09-01,97254.2
2010-10-01,99272.1
2010-11-01,99272.1
2010-12-01,99272.1
2011-01-01,100746.2
2011-02-01,100746.2
2011-03-01,100746.2
2011-04-01,100201.2
2011-05-01,100201.2
2011-06-01,100201.2
2011-07-01,100708.1
2011-08-01,100708.1
2011-09-01,100708.1
2011-10-01,100626.2
2011-11-01,100626.2
2011-12-01,100626.2
2012-01-01,101329.1
2012-02-01,101329.1
